id,old_label,corrected_label
3958,0,1
132,1,0
231,1,0
953,1,0
1053,1,0
1188,1,0
1399,1,0
1405,1,0
1888,1,0
1943,1,0
2011,1,0
4932,1,0
5262,1,0
5714,1,0
5887,1,0
6150,1,0
6310,1,0
6989,1,0
7016,1,0
7063,1,0
7595,1,0
7686,1,0
7933,1,0
8271,1,0
8628,1,0
8894,1,0
9207,1,0
10317,1,0
11348,1,0
11497,1,0
12565,1,0
12781,1,0
13150,1,0
13390,1,0
14038,1,0
14177,1,0
14327,1,0
14838,1,0
15670,1,0
16338,1,0
17215,1,0
17412,1,0
17585,1,0
18388,1,0
138,0,1
7572,0,1
163,1,0
1925,1,0
9715,1,0
15392,1,0
179,1,0
11808,0,1
7271,0,1
2987,1,0
4851,0,1
8474,0,1
351,1,0
4032,1,0
4256,1,0
16967,1,0
5586,0,1
11462,0,1
3061,1,0
932,1,0
5023,1,0
7276,1,0
715,1,0
6894,1,0
10758,1,0
12412,1,0
16554,1,0
17544,1,0
1368,1,0
1237,1,0
16665,1,0
3408,1,0
1304,1,0
3150,1,0
5057,1,0
9102,1,0
9346,1,0
1422,0,1
2342,1,0
3844,1,0
10101,1,0
11214,1,0
9814,1,0
11180,1,0
1620,0,1
3938,0,1
6210,0,1
7964,0,1
8296,0,1
12140,0,1
13052,0,1
16134,0,1
16407,0,1
1713,1,0
17461,1,0
1741,0,1
2451,0,1
3193,0,1
3391,0,1
8042,0,1
15491,0,1
16214,0,1
16744,0,1
1774,1,0
4541,1,0
4639,1,0
6551,1,0
7966,1,0
12442,1,0
2079,1,0
2479,1,0
4983,1,0
5228,1,0
5704,1,0
7485,1,0
9758,1,0
10185,1,0
15073,1,0
1828,1,0
2039,0,1
11517,1,0
4011,0,1
2218,1,0
2539,1,0
3282,1,0
3446,1,0
4264,1,0
6010,1,0
8767,1,0
10592,1,0
16668,1,0
17442,1,0
18255,1,0
2491,1,0
17841,1,0
11412,0,1
14971,0,1
16371,0,1
10928,1,0
3070,1,0
3088,1,0
11912,1,0
17888,1,0
3334,0,1
3436,1,0
6278,1,0
9144,1,0
10540,1,0
10952,1,0
12643,1,0
7406,1,0
4045,0,1
4048,1,0
4960,1,0
9110,1,0
15498,1,0
16005,1,0
17047,1,0
10798,1,0
14622,1,0
14887,1,0
5067,1,0
7176,1,0
6764,1,0
11371,1,0
12138,1,0
13473,1,0
4556,0,1
4594,1,0
8139,1,0
6517,0,1
4756,1,0
8114,1,0
8870,1,0
10869,1,0
16232,1,0
15095,1,0
5256,1,0
5485,1,0
8287,1,0
8891,1,0
18371,1,0
6151,1,0
18306,1,0
6252,1,0
11959,1,0
14856,1,0
18257,1,0
6405,0,1
10094,1,0
17889,1,0
6841,1,0
6950,0,1
14130,0,1
8366,0,1
7612,1,0
7718,1,0
10336,1,0
11273,1,0
17958,1,0
18053,1,0
18325,0,1
8514,0,1
8925,1,0
9492,1,0
13886,1,0
10006,0,1
13702,1,0
14251,1,0
13948,0,1
11503,1,0
13395,1,0
15413,1,0
17119,1,0
17708,1,0
16389,1,0
